lineID,site,year,rep,phenoValue
18,STBN_2011_DRR,2011,3,1909
3,STBN_2011_DRR,2011,3,1607
8,STBN_2011_DRR,2011,3,2010
15,STBN_2011_DRR,2011,3,2100
21,STBN_2011_DRR,2011,1,700
17,STBN_2011_DRR,2011,3,1780
4,STBN_2011_DRR,2011,1,2008
2,STBN_2011_DRR,2011,1,1000
18,STBN_2011_DRR,2011,1,1718
22,STBN_2011_DRR,2011,2,2000
24,STBN_2011_DRR,2011,1,1752
19,STBN_2011_DRR,2011,1,1750
14,STBN_2011_DRR,2011,3,1682
16,STBN_2011_DRR,2011,3,1987
7,STBN_2011_DRR,2011,3,1951
19,STBN_2011_DRR,2011,3,1875
4,STBN_2011_DRR,2011,3,2254
11,STBN_2011_DRR,2011,3,1331
19,STBN_2011_DRR,2011,2,2000
12,STBN_2011_DRR,2011,1,2015
20,STBN_2011_DRR,2011,3,1635
9,STBN_2011_DRR,2011,3,1286
23,STBN_2011_DRR,2011,2,1900
23,STBN_2011_DRR,2011,1,2000
8,STBN_2011_DRR,2011,2,2120
25,STBN_2011_DRR,2011,3,1653
21,STBN_2011_DRR,2011,2,1500
16,STBN_2011_DRR,2011,2,1862
11,STBN_2011_DRR,2011,2,1561
29,STBN_2011_DRR,2011,2,2000
6,STBN_2011_DRR,2011,2,2840
23,STBN_2011_DRR,2011,3,1950
6,STBN_2011_DRR,2011,1,2503
25,STBN_2011_DRR,2011,2,1568
10,STBN_2011_DRR,2011,3,1856
7,STBN_2011_DRR,2011,2,1700
9,STBN_2011_DRR,2011,1,1009
5,STBN_2011_DRR,2011,2,1754
12,STBN_2011_DRR,2011,3,1959
48,STBN_2013_CSSRI_CT,2013,1,3311
57,STBN_2013_CSSRI_CT,2013,1,2971
59,STBN_2013_CSSRI_CT,2013,3,3467
60,STBN_2013_CSSRI_CT,2013,3,4333
69,STBN_2013_CSSRI_CT,2013,3,3422
69,STBN_2013_CSSRI_CT,2013,2,3472
45,STBN_2013_CSSRI_CT,2013,2,2511
69,STBN_2013_CSSRI_CT,2013,1,5143
66,STBN_2013_CSSRI_CT,2013,1,1933
3,STBN_2013_CSSRI_CT,2013,2,3222
66,STBN_2013_CSSRI_CT,2013,3,3422
12,STBN_2013_CSSRI_CT,2013,1,2821
15,STBN_2013_CSSRI_CT,2013,2,3516
19,STBN_2013_CSSRI_CT,2013,3,3067
64,STBN_2013_CSSRI_CT,2013,3,3422
